epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,15.4221,0.26987,0.98621,1,0.03429,0.000540649,0.000540649,0.000540649
2,27.5185,0.04145,0.97931,1,0.03322,0.00107461,0.00107461,0.00107461
3,39.4654,0.09444,0.97931,1,0.04256,0.00158656,0.00158656,0.00158656
4,51.6511,0.04728,0.97241,1,0.07689,0.00156798,0.00156798,0.00156798
5,64.3998,0.14634,0.97931,1,0.0217,0.00153497,0.00153497,0.00153497
6,76.2906,0.10644,0.97241,1,0.05801,0.00150197,0.00150197,0.00150197
7,88.5614,0.0749,0.98621,1,0.08359,0.00146896,0.00146896,0.00146896
8,100.943,0.05684,0.97931,1,0.0627,0.00143595,0.00143595,0.00143595
9,113.481,0.11686,0.91034,1,0.27237,0.00140295,0.00140295,0.00140295
10,125.154,0.04435,0.96552,1,0.07287,0.00136994,0.00136994,0.00136994
11,137.244,0.05793,0.9931,1,0.024,0.00133693,0.00133693,0.00133693
12,148.428,0.03174,1,1,0.0038,0.00130393,0.00130393,0.00130393
13,160.381,0.04585,1,1,0.00603,0.00127092,0.00127092,0.00127092
14,172.141,0.03856,0.9931,1,0.03968,0.00123791,0.00123791,0.00123791
15,183.727,0.00914,0.98621,1,0.05064,0.00120491,0.00120491,0.00120491
16,195.739,0.01984,0.98621,1,0.10306,0.0011719,0.0011719,0.0011719
17,207.349,0.01115,0.97931,1,0.13937,0.00113889,0.00113889,0.00113889
18,219.316,0.03449,0.9931,1,0.01668,0.00110589,0.00110589,0.00110589
19,231.235,0.01939,1,1,0.0009,0.00107288,0.00107288,0.00107288
20,243.251,0.02545,0.98621,1,0.04002,0.00103987,0.00103987,0.00103987
21,256.145,0.01756,0.9931,1,0.0055,0.00100687,0.00100687,0.00100687
22,268.3,0.00694,1,1,0.00017,0.000973861,0.000973861,0.000973861
23,280.216,0.01027,1,1,0.00011,0.000940855,0.000940855,0.000940855
24,291.972,0.00376,1,1,0.0005,0.000907848,0.000907848,0.000907848
25,303.8,0.0024,1,1,0.00049,0.000874842,0.000874842,0.000874842
26,315.477,0.0038,1,1,0.00055,0.000841835,0.000841835,0.000841835
27,326.947,0.00118,1,1,0.00064,0.000808828,0.000808828,0.000808828
28,338.728,0.00552,1,1,0.00076,0.000775822,0.000775822,0.000775822
29,350.579,0.00627,1,1,0.00039,0.000742815,0.000742815,0.000742815
30,362.403,0.00796,1,1,0.0007,0.000709809,0.000709809,0.000709809
31,373.976,0.00916,1,1,0.00087,0.000676802,0.000676802,0.000676802
32,385.788,0.00288,1,1,0.00166,0.000643795,0.000643795,0.000643795
33,397.594,0.01154,1,1,0.0007,0.000610789,0.000610789,0.000610789
34,409.325,0.00316,1,1,0.00184,0.000577782,0.000577782,0.000577782
35,421.323,0.00222,1,1,0.0006,0.000544776,0.000544776,0.000544776
36,433.157,0.00274,1,1,0.00013,0.000511769,0.000511769,0.000511769
37,444.956,0.00286,1,1,0.00018,0.000478762,0.000478762,0.000478762
38,456.69,0.03561,1,1,0.0002,0.000445756,0.000445756,0.000445756
39,468.194,0.0069,1,1,0.00064,0.000412749,0.000412749,0.000412749
40,479.273,0.00199,1,1,0.00055,0.000379743,0.000379743,0.000379743
41,491.052,0.00624,1,1,0.00018,0.000346736,0.000346736,0.000346736
42,502.853,0.01422,1,1,0.00029,0.000313729,0.000313729,0.000313729
43,514.135,0.00536,1,1,5e-05,0.000280723,0.000280723,0.000280723
44,525.835,0.00154,1,1,5e-05,0.000247716,0.000247716,0.000247716
45,537.564,0.00514,1,1,2e-05,0.00021471,0.00021471,0.00021471
46,549.311,0.00485,1,1,2e-05,0.000181703,0.000181703,0.000181703
47,561.394,0.00073,1,1,2e-05,0.000148696,0.000148696,0.000148696
48,573.78,0.00813,1,1,3e-05,0.00011569,0.00011569,0.00011569
49,586.166,0.01199,1,1,3e-05,8.26832e-05,8.26832e-05,8.26832e-05
50,598.746,0.00429,1,1,8e-05,4.96766e-05,4.96766e-05,4.96766e-05
