epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,18.568,0.16756,1,1,0.00215,0.00054409,0.00054409,0.00054409
2,35.2088,0.03796,1,1,0.00531,0.00107798,0.00107798,0.00107798
3,51.9858,0.0215,1,1,0.00522,0.00158987,0.00158987,0.00158987
4,67.7458,0.05457,0.98404,1,0.08914,0.00156798,0.00156798,0.00156798
5,83.5606,0.05487,0.94681,1,0.22236,0.00153497,0.00153497,0.00153497
6,99.5439,0.05016,1,1,0.02831,0.00150197,0.00150197,0.00150197
7,115.141,0.03652,0.98936,1,0.01398,0.00146896,0.00146896,0.00146896
8,131.121,0.01963,0.98404,1,0.06556,0.00143595,0.00143595,0.00143595
9,146.86,0.04421,1,1,0.00354,0.00140295,0.00140295,0.00140295
10,162.746,0.01015,0.99468,1,0.01357,0.00136994,0.00136994,0.00136994
11,178.498,0.00399,1,1,3e-05,0.00133693,0.00133693,0.00133693
12,194.397,0.02816,0.99468,1,0.05937,0.00130393,0.00130393,0.00130393
13,209.706,0.02363,1,1,0.00041,0.00127092,0.00127092,0.00127092
14,225.643,0.02432,1,1,0.00028,0.00123791,0.00123791,0.00123791
15,241.533,0.01673,0.99468,1,0.01549,0.00120491,0.00120491,0.00120491
16,256.993,0.00741,0.99468,1,0.01758,0.0011719,0.0011719,0.0011719
17,272.683,0.00992,0.99468,1,0.01213,0.00113889,0.00113889,0.00113889
18,288.165,0.01268,0.99468,1,0.01973,0.00110589,0.00110589,0.00110589
19,303.869,0.00512,0.98936,1,0.02099,0.00107288,0.00107288,0.00107288
20,319.11,0.00762,0.99468,1,0.03573,0.00103987,0.00103987,0.00103987
21,334.98,0.00499,0.99468,1,0.02916,0.00100687,0.00100687,0.00100687
22,350.693,0.02006,0.99468,1,0.03711,0.000973861,0.000973861,0.000973861
23,366.584,0.0191,0.99468,1,0.02413,0.000940855,0.000940855,0.000940855
24,382.225,0.03346,0.99468,1,0.02795,0.000907848,0.000907848,0.000907848
25,397.807,0.02693,0.99468,1,0.01198,0.000874842,0.000874842,0.000874842
26,413.439,0.0445,1,1,0.00084,0.000841835,0.000841835,0.000841835
27,429.1,0.0072,1,1,0.00073,0.000808828,0.000808828,0.000808828
28,444.279,0.00399,1,1,0.00064,0.000775822,0.000775822,0.000775822
29,460.215,0.00887,1,1,0.00078,0.000742815,0.000742815,0.000742815
30,475.997,0.01315,1,1,0.00084,0.000709809,0.000709809,0.000709809
31,491.687,0.00539,1,1,0.00134,0.000676802,0.000676802,0.000676802
32,507.392,0.00246,1,1,0.00049,0.000643795,0.000643795,0.000643795
33,523.21,0.00345,1,1,0.00036,0.000610789,0.000610789,0.000610789
34,539.146,0.0016,1,1,0.00073,0.000577782,0.000577782,0.000577782
35,554.968,0.00121,1,1,0.00051,0.000544776,0.000544776,0.000544776
36,570.136,0.00444,1,1,0.00039,0.000511769,0.000511769,0.000511769
37,585.827,0.00055,1,1,0.00037,0.000478762,0.000478762,0.000478762
38,601.797,0.00065,1,1,0.00012,0.000445756,0.000445756,0.000445756
39,617.688,0.0123,1,1,0.00016,0.000412749,0.000412749,0.000412749
40,633.526,0.00218,0.99468,1,0.00417,0.000379743,0.000379743,0.000379743
41,649.39,0.00603,1,1,0.00022,0.000346736,0.000346736,0.000346736
42,665.473,0.00217,1,1,0.0001,0.000313729,0.000313729,0.000313729
43,681.216,0.00224,1,1,0.00058,0.000280723,0.000280723,0.000280723
44,696.175,0.00062,1,1,0.00028,0.000247716,0.000247716,0.000247716
45,711.96,0.00128,1,1,0.00017,0.00021471,0.00021471,0.00021471
46,727.969,0.00054,1,1,0.00059,0.000181703,0.000181703,0.000181703
47,743.733,0.00107,1,1,0.00017,0.000148696,0.000148696,0.000148696
48,759.622,0.00035,1,1,0.00011,0.00011569,0.00011569,0.00011569
49,775.554,0.00073,1,1,0.0001,8.26832e-05,8.26832e-05,8.26832e-05
50,791.591,0.00155,1,1,0.00016,4.96766e-05,4.96766e-05,4.96766e-05
